,Value
Max_Accel,0.7418307691668798
Max_Speed,6.363749462842648
Free_Road_Delta,0.8402727327151532
Decel_Point,-15.683107157797986
Turning_Speed,1.9811692668777094
Decel_Limit,-0.5820843827093449
Decel_Delta,0.601387850472129
D2,-13.178092327805457
D3,-11.265135697578337
D4,-11.058210878987039
D5,-7.917786736548775
D6,-9.343889122193016
